id,feed_type,category1,category2,status,name,action,location,created,updated,size,source_org,source_title,latitude,longitude,text
2026-05-03T18:48:00.0000000:651687,incident,Fire,Fire,Under Control,"Beasleys Road, Towamba State Forest",,Towamba,2026-05-03T18:48:00+10:00,2026-05-03T18:48:00+10:00,['177 ha'],NSW/RFS,"Beasleys Road, Towamba State Forest",-37.111627292,149.681506183,
2026-05-03T18:47:00.0000000:651692,incident,Fire,Fire,Under Control,Killarney Road Nalbaugh State Forest,,Paddys Flat,2026-05-03T18:47:00+10:00,2026-05-03T18:47:00+10:00,['184 ha'],NSW/RFS,Killarney Road Nalbaugh State Forest,-37.009761684,149.36816334,
2026-05-03T18:46:00.0000000:651583,incident,Fire,Fire,Under Control,Dent Road Coolangubra State Forest,,Forestry Hr Dent Road Plantation Coolangubra State Forest,2026-05-03T18:46:00+10:00,2026-05-03T18:46:00+10:00,['83 ha'],NSW/RFS,Dent Road Coolangubra State Forest,-36.9837670549999,149.295873642,
2026-05-03T18:45:00.0000000:653433,incident,Fire,Fire,Under Control,"Mcleods Road, Bondi State Forest",,Forestry Hr Mcleods Road Plantation F26,2026-05-03T18:45:00+10:00,2026-05-03T18:45:00+10:00,['425 ha'],NSW/RFS,"Mcleods Road, Bondi State Forest",-37.1052930929999,149.183177948,
2026-05-03T18:44:00.0000000:651585,incident,Fire,Fire,Under Control,Miralai Road Bondi State Forest,,"Forestry Hr Miralai North Plantation, Bondio State Forest",2026-05-03T18:44:00+10:00,2026-05-03T18:44:00+10:00,['138 ha'],NSW/RFS,Miralai Road Bondi State Forest,-37.0743627959999,149.125571551,
2026-05-03T15:36:00.0000000:655351,incident,Fire,Fire,Under Control,Pacific Trail,,Broadwater Road,2026-05-03T15:36:00+10:00,2026-05-03T15:36:00+10:00,['175 ha'],NSW/RFS,Pacific Trail,-36.9904877709999,149.892311097,
2026-05-03T15:18:00.0000000:656716,incident,Fire,Fire,Under Control,Forestry Hr - Cirrus Road,,Cirrus Road Hr,2026-05-03T15:18:00+10:00,2026-05-03T15:18:00+10:00,['344 ha'],NSW/RFS,Forestry Hr - Cirrus Road,-36.925606021,149.787683486,
2026-05-03T13:31:00.0000000:657477,incident,Fire,Fire,Under Control,Geehi Walls,,Scammels,2026-05-03T13:31:00+10:00,2026-05-03T13:31:00+10:00,['292 ha'],NSW/RFS,Geehi Walls,-36.362139735,148.178958893,
2026-05-03T13:29:00.0000000:657476,incident,Fire,Fire,Under Control,Indi North Hr,,"Khancoban Visitor Centre, Scammel St, Khancoban Nsw 2642",2026-05-03T13:29:00+10:00,2026-05-03T13:29:00+10:00,['803 ha'],NSW/RFS,Indi North Hr,-36.232504428,148.094501495,
ESTA:260505168,incident,Fire,Building Fire,Responding,,,Cranbourne West,2026-05-03T12:58:00.000Z,2026-05-03T12:58:00.000Z,Small,VIC/CFA,,-38.103117719057785,145.2654609610785,
ESTA:260505163,incident,Fire,Non Structure Fire,Safe,,,"Pearcedale Pde, Broadmeadows",2026-05-03T12:44:10.000Z,2026-05-03T13:02:34.768Z,,VIC/ESTA,Broadmeadows,-37.67527512901423,144.91970613075907,
ESTA:260505158,incident,Fire,Other,Safe,,,"Grattan St, Clyde",2026-05-03T12:12:00.000Z,2026-05-03T12:42:00.000Z,Small,VIC/CFA,Grattan St,-38.12663525030182,145.3330805322348,
2026-05-03T12:08:00.0000000:658072,incident,Fire,Bushfire,Under Control,"North Barham Rd, Barham",,"North Barham Rd, Barham 2732",2026-05-03T12:08:00+10:00,2026-05-03T12:08:00+10:00,['0 ha'],NSW/RFS,"North Barham Rd, Barham",-35.60452652,144.116058349,
ESTA:260505154,incident,Fire,Other,Safe,,,Epping,2026-05-03T11:52:00.000Z,2026-05-03T12:26:00.000Z,Small,VIC/CFA,,-37.63963080331772,145.0148192769971,
ESTA:260505137,incident,Fire,Building Fire,Safe,,,"Dee Rd, Millgrove",2026-05-03T11:03:16.000Z,2026-05-03T12:51:42.341Z,,VIC/ESTA,Millgrove,-37.739911281436186,145.64234524813077,
ESTA:260505067,incident,Fire,Building Fire,Under Control,,,Terang,2026-05-03T08:14:00.000Z,2026-05-03T08:42:00.000Z,Small,VIC/CFA,,-38.24366187172602,142.9291408863219,
2026-05-03T05:54:00.0000000:657150,incident,Fire,Fire,Under Control,Crackenback Hr,,"Alpine Way, Crackenback 2627",2026-05-03T05:54:00+10:00,2026-05-03T05:54:00+10:00,['0 ha'],NSW/RFS,Crackenback Hr,-36.4194072879999,148.538209678,
3009950,incident,Planned Burn,Planned Burn,Patrolled,,,14Km Ne Of Walhalla,2026-05-03T04:31:13.000Z,2026-05-03T04:31:13.000Z,2724.29 Ha.,VIC/DEECA,Binns - Binns Road,-37.8176648,146.5076556,
3010150,incident,Planned Burn,Planned Burn,Patrolled,,,16Km N Of Omeo,2026-05-03T03:12:27.000Z,2026-05-03T03:12:27.000Z,8494.88 Ha.,VIC/DEECA,Anglers Rest - Big River,-36.9620149,147.5209572,
ESTA:260504752,incident,Fire,Bushfire,Under Control,,,"Baileys Rocks Rd, Dergholm",2026-05-03T01:56:00.000Z,2026-05-03T04:59:00.000Z,Small,VIC/CFA,Baileys Rocks Rd,-37.2943809190038,141.2075324352281,
102647050,incident,Fire,Bushfire,Under Control,,,1.8Km W Of Parkers Corner,2026-05-03T00:24:00Z,2026-05-03T01:54:11.1094532Z,0.5 Ha.,VIC/DEECA,Finns Farm - Finns Farm,-37.9445,146.3689,
2026-05-02T14:25:00.0000000:655647,incident,Fire,Fire,Under Control,Bondi Gulf West Hr,,Bondi Gulf Nature Reserve Bondi Forest 2632,2026-05-02T14:25:00+10:00,2026-05-02T14:25:00+10:00,['129 ha'],NSW/RFS,Bondi Gulf West Hr,-37.097204,149.256345,
3006545,incident,Planned Burn,Planned Burn,Patrolled,,,5.7Km N Of Myrtleford,2026-05-02T11:47:09.000Z,2026-05-02T11:47:09.000Z,638.33 Ha.,VIC/DEECA,Gapsted - West End Track,-36.5071206,146.7051034,
941166,incident,Planned Burn,Planned Burn,Patrolled,,,4Kms Se Of Big Pats Creek,2026-05-02T09:15:33.000Z,2026-05-02T09:15:33.000Z,1528.88 Ha.,VIC/DEECA,Big Pats Creek - Mississippi Creek Road,-37.7746,145.7839,
3025413,incident,Planned Burn,Planned Burn,Patrolled,,,1.7Km Nw Of Three Bridges,2026-05-02T09:14:21.000Z,2026-05-02T09:14:21.000Z,162.05 Ha.,VIC/DEECA,Three Bridges - Slaty Creek Track,-37.8591772,145.66101,
934915,incident,Planned Burn,Planned Burn,Patrolled,,,2Km Nw Of Rawson,2026-05-02T08:00:46.000Z,2026-05-02T08:00:46.000Z,74.15 Ha.,VIC/DEECA,Parkers Corner - Finns Track,-37.945,146.374,
3021913,incident,Planned Burn,Planned Burn,Patrolled,,,13.5Km Ne Of Neerim South,2026-05-02T07:37:10.000Z,2026-05-02T07:37:10.000Z,585.90 Ha.,VIC/DEECA,Neerim East - Hawthorn Creek Road,-37.9520418,146.0866563,
934903,incident,Planned Burn,Planned Burn,Patrolled,,,4Km N Of Noojee,2026-05-02T07:27:17.000Z,2026-05-02T07:27:17.000Z,484.50 Ha.,VIC/DEECA,Loch Valley - Lv1 Track,-37.8497,146.0077,
102634050,incident,Fire,Bushfire,Under Control,,,0.7Km Ne Of Buffalo Creek,2026-05-02T07:19:00Z,2026-05-02T23:43:22.4066737Z,1.77 Ha.,VIC/DEECA,Buffalo Creek - Clemens Lane,-36.5884,146.7345,
934891,incident,Planned Burn,Planned Burn,Patrolled,,,3.6Km Se Of Erica,2026-05-02T07:13:03.000Z,2026-05-02T07:13:03.000Z,13.22 Ha.,VIC/DEECA,Jacob Creek - Mcconachys Road,-37.9903,146.4067,
3017894,incident,Planned Burn,Planned Burn,Patrolled,,,3.8Km E Of Tambo Upper,2026-05-02T06:12:41.000Z,2026-05-02T06:12:41.000Z,631.52 Ha.,VIC/DEECA,Tambo Upper - Wards Road,-37.751134,147.8939929,
102637171,incident,Fire,Bushfire,Under Control,,,Dead River Track East Cobram,2026-05-02T06:10:00Z,2026-05-02T09:17:12.2169358Z,0.01 Ha.,VIC/DEECA,Dead River Track East Cobram - Dead River Track,-35.98410892116691,145.80141218578228,
3010942,incident,Planned Burn,Planned Burn,Patrolled,,,3Km Ne Of Woods Point,2026-05-02T05:57:56.000Z,2026-05-02T05:57:56.000Z,1690.49 Ha.,VIC/DEECA,Woods Point - Clarke Spur Track,-37.5618658,146.2856179,
3020823,incident,Planned Burn,Planned Burn,Patrolled,,,7Km Se Of Barwon Downs,2026-05-02T05:46:48.000Z,2026-05-02T05:46:48.000Z,11830.70 Ha.,VIC/DEECA,Barwon Downs - Northern Ridges,-38.5144277,143.8071419,
102614022,incident,Fire,Bushfire,Contained,,,2.5Km Se Of Warrock,2026-05-02T05:07:00Z,2026-05-02T09:23:06.4868776Z,20 Ha.,VIC/DEECA,Red Cap Creek - Fosters Rd,-37.4501099027529,141.30469550520826,
3015833,incident,Planned Burn,Planned Burn,Patrolled,,,1.9Km S Of Kancoona,2026-05-02T04:12:26.000Z,2026-05-02T04:12:26.000Z,1700.67 Ha.,VIC/DEECA,Kancoona - Berti Road,-36.6237767,146.994413,
3016400,incident,Planned Burn,Planned Burn,Patrolled,,,0.2Km E Of Knockwood,2026-05-02T03:51:10.000Z,2026-05-02T03:51:10.000Z,18986.40 Ha.,VIC/DEECA,Upper Goulburn Sf - Snake Edwards Divide,-37.4203474,146.3012058,
3000777,incident,Planned Burn,Planned Burn,Patrolled,,,3Km Nw Of Stanley,2026-05-02T03:40:17.000Z,2026-05-02T03:40:17.000Z,5.36 Ha.,VIC/DEECA,Stanley - Sley-1 Old Stanley Road,-36.3795458,146.7324345,
3026082,incident,Planned Burn,Planned Burn,Patrolled,,,3.5Km Nw Of Marysville,2026-05-02T00:48:39.000Z,2026-05-02T00:48:39.000Z,668.78 Ha.,VIC/DEECA,Marysville - Peake Tk,-37.4906961,145.7112344,
3026032,incident,Planned Burn,Planned Burn,In Progress,,,2Km Nw Of Traralgon,2026-05-02T00:07:47.000Z,2026-05-02T00:07:47.000Z,1.60 Ha.,VIC/DEECA,Traralgon - Scrubby Lane 3,-38.1982713,146.4809589,
3002156,incident,Planned Burn,Planned Burn,Patrolled,,,2.69Km Ne Of Gembrook,2026-05-01T22:31:20.000Z,2026-05-01T22:31:20.000Z,47.34 Ha.,VIC/DEECA,Gembrook - The Pack Track,-37.9385969,145.5804963,
2026-05-01T16:42:00.0000000:657584,incident,Fire,Fire,Under Control,Rileys,,Tom Groggin,2026-05-01T16:42:00+10:00,2026-05-01T16:42:00+10:00,['451 ha'],NSW/RFS,Rileys,-36.5534075269999,148.141899114,
2026-05-01T14:35:00.0000000:657280,incident,Fire,Fire,Under Control,Storkys Hr,,Nadgee Nature Reserve,2026-05-01T14:35:00+10:00,2026-05-01T14:35:00+10:00,['376 ha'],NSW/RFS,Storkys Hr,-37.3069660109999,149.919433594,
3025907,incident,Planned Burn,Planned Burn,Patrolled,,,2Km Sw Of Heyfield,2026-05-01T08:43:31.000Z,2026-05-01T08:43:31.000Z,1.60 Ha.,VIC/DEECA,Heyfield - Glenmaggie Ncr,-37.9597163,146.7352177,
868340,incident,Planned Burn,Planned Burn,Patrolled,,,Sassafras - Melways 66 E9,2026-05-01T08:04:33.000Z,2026-05-01T08:04:33.000Z,31.75 Ha.,VIC/DEECA,Sassafras - School Trk,-37.8594,145.3494,
3006522,incident,Planned Burn,Planned Burn,Patrolled,,,6Km E Of Heathcote Junction,2026-05-01T07:50:41.000Z,2026-05-01T07:50:41.000Z,314.26 Ha.,VIC/DEECA,Clonbinane - Raynors Rd,-37.3644957,145.0967902,
3024581,incident,Planned Burn,Planned Burn,Patrolled,,,4.1Km S Of Bright,2026-05-01T07:33:52.000Z,2026-05-01T07:33:52.000Z,391.69 Ha.,VIC/DEECA,Bright - Water Reserve Track,-36.764138,146.94797,
102638057,incident,Fire,Bushfire,Under Control,,,1.3Km Nth Of Mangalore West,2026-05-01T05:40:00Z,2026-05-01T06:16:38.135772Z,0.5 Ha.,VIC/DEECA,Mangalore West - Grenada Rd,-36.8843,145.1412,
3006129,incident,Planned Burn,Planned Burn,In Progress,,,1Km Nw Of Cowwarr Weir,2026-05-01T02:43:08.000Z,2026-05-01T02:43:08.000Z,296.13 Ha.,VIC/DEECA,Cowwarr Weir - Stoney Creek Road,-37.9888291,146.6431443,
102615070,incident,Fire,Bushfire,Under Control,,,2.4Km W Of Trentham,2026-05-01T01:30:00Z,2026-05-02T02:24:36.7353753Z,0.6 Ha.,VIC/DEECA,Trentham - Mulcahys Rd,-37.3953,144.2984,
934987,incident,Planned Burn,Planned Burn,Patrolled,,,4Km W Of Gisborne,2026-04-30T22:36:59.000Z,2026-04-30T22:36:59.000Z,52.26 Ha.,VIC/DEECA,Gisborne - Pyrites No 2 Track,-37.4936,144.5284,
934991,incident,Planned Burn,Planned Burn,Patrolled,,,3Km Nw Of Macedon,2026-04-30T22:18:39.000Z,2026-04-30T22:18:39.000Z,60.07 Ha.,VIC/DEECA,Macedon - Christie Road,-37.4116,144.5289,
3010281,incident,Planned Burn,Planned Burn,Patrolled,,,3.2Km N Of Lyonville,2026-04-30T22:18:17.000Z,2026-04-30T22:18:17.000Z,248.42 Ha.,VIC/DEECA,Lyonville - Loddon River Road,-37.3591734,144.2732853,
3010848,incident,Planned Burn,Planned Burn,Patrolled,,,2Km Se Of Barwon Downs,2026-04-30T08:36:00.000Z,2026-04-30T08:36:00.000Z,98.61 Ha.,VIC/DEECA,Barwon Downs - Taylors Road,-38.48891,143.7745436,
3006259,incident,Planned Burn,Planned Burn,Patrolled,,,1.1Km Ne Of Ferny Creek,2026-04-30T08:11:24.000Z,2026-04-30T08:11:24.000Z,28.60 Ha.,VIC/DEECA,Ferny Creek - Helen Track,-37.8652528,145.3383043,
3025417,incident,Planned Burn,Planned Burn,Patrolled,,,1.5Km W Of Silvan,2026-04-30T08:10:00.000Z,2026-04-30T08:10:00.000Z,26.34 Ha.,VIC/DEECA,Silvan - Track 18,-37.8250808,145.397312,
751978,incident,Planned Burn,Planned Burn,Patrolled,,,1.7Km E Of Mirboo North,2026-04-30T07:59:25.000Z,2026-04-30T07:59:25.000Z,11.52 Ha.,VIC/DEECA,Mirboo North - Transfer Station,-38.401069,146.1739231,
3020401,incident,Planned Burn,Planned Burn,Patrolled,,,13Km N Of Patchewollock,2026-04-30T05:43:47.000Z,2026-04-30T05:43:47.000Z,727.63 Ha.,VIC/DEECA,Patchewollock - State Forest Chained Break,-35.2642117,142.1738186,
941136,incident,Planned Burn,Planned Burn,Patrolled,,,10Km Nnw Of Dargo,2026-04-30T05:00:53.000Z,2026-04-30T05:00:53.000Z,1866.82 Ha.,VIC/DEECA,Dargo - Birregun Road,-37.364,147.3072,
899508,incident,Planned Burn,Planned Burn,Patrolled,,,17Km Sw Of Dargo,2026-04-30T04:58:45.000Z,2026-04-30T04:58:45.000Z,424.39 Ha.,VIC/DEECA,Cobbannah - Pretty Boy Hill,-37.6058,147.1824,
3018056,incident,Planned Burn,Planned Burn,Patrolled,,,5Km Ne Of Lakes Entrance,2026-04-30T03:15:54.000Z,2026-04-30T03:15:54.000Z,32.76 Ha.,VIC/DEECA,Toorloo Arm - Princes Highway,-37.8196259,148.027906,
